"id","question","expected_route","prompt_category","csv_path"
"1","What is the average engine RPM in this log?","pal","unambiguous","data/obdiidata/drive1.csv"
"2","How many rows are present in this telemetry file?","pal","unambiguous","data/obdiidata/drive1.csv"
"3","What is the maximum vehicle speed recorded?","pal","unambiguous","data/obdiidata/drive1.csv"
"4","What is the minimum engine rpm in this dataset?","pal","unambiguous","data/obdiidata/drive1.csv"
"5","What is the median vehicle speed in this CSV?","pal","unambiguous","data/obdiidata/drive1.csv"
"6","What percentage of rows have vehicle_speed greater than zero?","pal","unambiguous","data/obdiidata/live1.csv"
"7","What is the highest coolant temperature recorded in this file?","pal","unambiguous","data/obdiidata/idle1.csv"
"8","What is the mean throttle position in this log?","pal","unambiguous","data/obdiidata/live1.csv"
"9","Count rows where engine_rpm exceeds 1500 and vehicle_speed is above zero.","pal","unambiguous","data/obdiidata/long1.csv"
"10","What is the speed range (max minus min) in this dataset?","pal","unambiguous","data/obdiidata/long1.csv"
"11","What is the average engine RPM when vehicle speed is zero?","pal","unambiguous","data/obdiidata/idle1.csv"
"12","What is the 90th percentile of engine RPM from this file?","pal","unambiguous","data/obdiidata/live1.csv"
"13","What is the correlation between engine_rpm and vehicle_speed in this log?","pal","unambiguous","data/obdiidata/long1.csv"
"14","Convert the average vehicle speed to km/h using this data.","pal","unambiguous","data/obdiidata/drive1.csv"
"15","How many rows have engine_rpm below 700 in this file?","pal","unambiguous","data/obdiidata/idle1.csv"
"16","What is the interquartile range of engine RPM in this CSV?","pal","unambiguous","data/obdiidata/drive1.csv"
"17","What is the average MAF value in this telemetry log?","pal","unambiguous","data/obdiidata/drive1.csv"
"18","What share of samples have coolant_temperature above 90?","pal","unambiguous","data/obdiidata/live1.csv"
"19","Filter rows with vehicle_speed above 40 and report the average engine RPM.","pal","unambiguous","data/obdiidata/long1.csv"
"20","How many unique vehicle_speed values appear in this dataset?","pal","unambiguous","data/obdiidata/live1.csv"
"21","What does DTC code P0300 indicate?","rag","unambiguous","data/obdiidata/drive1.csv"
"22","What are common causes of fault code P0420?","rag","unambiguous","data/obdiidata/drive1.csv"
"23","How do I diagnose a persistent misfire complaint?","rag","unambiguous","data/obdiidata/live1.csv"
"24","What checks should be done first for a rough idle complaint?","rag","unambiguous","data/obdiidata/idle1.csv"
"25","What does a lean fuel trim condition usually indicate?","rag","unambiguous","data/obdiidata/drive1.csv"
"26","What is the typical troubleshooting workflow for an overheating engine?","rag","unambiguous","data/obdiidata/live1.csv"
"27","What symptoms usually appear with a failing oxygen sensor?","rag","unambiguous","data/obdiidata/drive1.csv"
"28","What does code P0171 generally point to?","rag","unambiguous","data/obdiidata/drive1.csv"
"29","What does pending versus confirmed DTC status mean?","rag","unambiguous","data/obdiidata/live1.csv"
"30","What usually causes a random or multiple cylinder misfire?","rag","unambiguous","data/obdiidata/live1.csv"
"31","The average coolant temperature in this log is above 90 — is that a sign of overheating?","rag","hybrid","data/obdiidata/drive1.csv"
"32","Engine RPM is frequently above 3000 in this file — could that cause accelerated wear?","rag","hybrid","data/obdiidata/drive1.csv"
