id,dtc_code,question,expected_answer,docs_path,template_id,question_mode,code_index
1,P0001,P0001,Fuel Volume Regulator Control Circuit/Open,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,1
2,P0001,Fuel Volume Regulator Control Circuit/Open,P0001,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,1
3,P0001,What does P0001 mean?,Fuel Volume Regulator Control Circuit/Open,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,1
4,P0001,What is P0001?,Fuel Volume Regulator Control Circuit/Open,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,1
5,P0001,What causes fault code P0001?,Fuel Volume Regulator Control Circuit/Open,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,1
6,P0001,Fuel Volume Regulator,P0001,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,1
7,P0055,P0055,HO2S Heater Resistance (Bank 1 Sensor 3),knowledge\diagnostics\fault_codes_database.md,1,code_to_description,2
8,P0055,HO2S Heater Resistance (Bank 1 Sensor 3),P0055,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,2
9,P0055,What does P0055 mean?,HO2S Heater Resistance (Bank 1 Sensor 3),knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,2
10,P0055,What is P0055?,HO2S Heater Resistance (Bank 1 Sensor 3),knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,2
11,P0055,What causes fault code P0055?,HO2S Heater Resistance (Bank 1 Sensor 3),knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,2
12,P0055,HO2S Heater Resistance,P0055,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,2
13,P0110,P0110,Intake Air Temperature Circuit Malfunction,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,3
14,P0110,Intake Air Temperature Circuit Malfunction,P0110,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,3
15,P0110,What does P0110 mean?,Intake Air Temperature Circuit Malfunction,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,3
16,P0110,What is P0110?,Intake Air Temperature Circuit Malfunction,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,3
17,P0110,What causes fault code P0110?,Intake Air Temperature Circuit Malfunction,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,3
18,P0110,Intake Air Temperature,P0110,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,3
19,P0167,P0167,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 3),knowledge\diagnostics\fault_codes_database.md,1,code_to_description,4
20,P0167,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 3),P0167,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,4
21,P0167,What does P0167 mean?,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 3),knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,4
22,P0167,What is P0167?,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 3),knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,4
23,P0167,What causes fault code P0167?,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 3),knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,4
24,P0167,Heater (Bank,P0167,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,4
25,P0223,P0223,Throttle/Petal Position Sensor/Switch B Circuit High Input,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,5
26,P0223,Throttle/Petal Position Sensor/Switch B Circuit High Input,P0223,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,5
27,P0223,What does P0223 mean?,Throttle/Petal Position Sensor/Switch B Circuit High Input,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,5
28,P0223,What is P0223?,Throttle/Petal Position Sensor/Switch B Circuit High Input,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,5
29,P0223,What causes fault code P0223?,Throttle/Petal Position Sensor/Switch B Circuit High Input,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,5
30,P0223,Throttle/Petal Position Sensor/Switch,P0223,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,5
